,teacher_id,meditation_id,med_list_batch_id,med_list_scrape_date,med_list_scrape_status,med_detail_batch_id,med_detail_scrape_date,med_detail_scrape_status,title,upload_date,duration,plays,rating,reviews,track_type,activity,suitable_for,topics,description,meditation_url,image_url
9161,alicelapeta333,/guided-meditations/w1j9n9c9v4y0w1x2v7e4p4x0y2d8f0c9m7d3y6q4,5,2022-12-13 13:19:54.969312,meditation found,62,2022-12-16 22:35:31.517261,title found,Heart Healing Practice For Anxiety & Fear During Coronavirus,2020-04-05T19:52:20.000Z,PT15M29S,1k,4.72,58,guided,Meditation,Everyone,"Energy-Based,Healing,Spirituality","Through this heart healing practice, you will learn how to compassionately connect with your heart to release trapped emotions, anxiety, and fear; heal trauma and bring your body back to balance. Heart healing creates a multitude of powerful transformations and shifts within, awakening your consciousness and blissfully elevating your vibration for healing that will radiate through your entire being, positively impacting all aspects of your health and life.",https://insighttimer.com/alicelapeta333/guided-meditations/heart-healing-meditation-practice-for-anxiety-and-fear-during-coronavirus,https://libraryitems.insighttimer.com/w1j9n9c9v4y0w1x2v7e4p4x0y2d8f0c9m7d3y6q4/pictures/tiny_rectangle_medium.jpeg
9162,musicasmedicine,/guided-meditations/y3p9r3n2v6u2a3n5b4c5u7v6h7b9h3m4z3k6f1p6,5,2022-12-13 13:20:01.511913,meditation found,62,2022-12-16 22:35:34.620951,title found,The Five Anchors,2020-12-18T19:18:36.000Z,PT4M20S,8k,4.82,730,music,Meditation,Everyone,"Stress & Anxiety,SOS,Mindfulness,Instrumental,Spirituality,Spirituality","When we're faced with conflict, especially when someone is doing micro-aggressions against us, it's hard to stay in our bodies. This song sources Resmaa Menakem's somatic practice, ""The Five Anchors,"" to help you settle your body so you can respond intentionally, and discharge the trauma. ",https://insighttimer.com/musicasmedicine/guided-meditations/the-five-anchors,https://libraryitems.insighttimer.com/y3p9r3n2v6u2a3n5b4c5u7v6h7b9h3m4z3k6f1p6/pictures/tiny_rectangle_medium.jpeg
9163,musicasmedicine,/guided-meditations/d2z5m8s6e3p9g1f3q5r4q7c9w5v0v6u3f9r1s3v7,5,2022-12-13 13:20:01.513868,meditation found,62,2022-12-16 22:35:38.115606,title not found,,,,,,,,,,,,,
9164,aliciameek,/guided-meditations/p9w9g8l8z5g8x2z6x1e9w3h1z4l4m6j2u6d4r0y4,5,2022-12-13 13:20:08.113643,meditation found,62,2022-12-16 22:35:40.524131,title found,Clearing Your Energy With White Light,2021-08-11T01:22:00.000Z,PT4M57S,3k,4.66,352,guided,Meditation,Everyone,"Secular,Mindfulness,Divine Connection,Spiritual,Mindfulness Meditation,Secular Mindfulness","This is a simple and quick clearing meditation using white light. Use white light to clear anxieties and tensions. ""I clear and release all excess energy, I release this energy back to Mother Earth to be used elsewhere"".",https://insighttimer.com/aliciameek/guided-meditations/clearing-your-energy-with-white-light,https://libraryitems.insighttimer.com/p9w9g8l8z5g8x2z6x1e9w3h1z4l4m6j2u6d4r0y4/pictures/tiny_rectangle_medium.jpeg
9165,aliciameek,/guided-meditations/e7d7v2a0g9g5r7w6y7f6h5p1m7n1q1p9j4u3c6h1,5,2022-12-13 13:20:08.115643,meditation found,62,2022-12-16 22:35:44.938327,title found,Tree Grounding,2020-10-27T19:42:42.000Z,PT4M40S,2k,4.65,255,guided,Meditation,Everyone,"Anxiety,Secular,Stress & Anxiety,Mindfulness,Mindfulness Meditation,Secular Mindfulness","This is a grounding meditation using visualization and body awareness to connect with the Earth. Use this meditation for stress, overthinking, as a morning ritual, or before heading into a difficult conversation. ",https://insighttimer.com/aliciameek/guided-meditations/tree-grounding,https://libraryitems.insighttimer.com/e7d7v2a0g9g5r7w6y7f6h5p1m7n1q1p9j4u3c6h1/pictures/tiny_rectangle_medium.jpeg
9166,aliciameek,/guided-meditations/q1h3n0s0m6w3d4f5a7a8b7a6d0h4r2f7h9y3a4d2,5,2022-12-13 13:20:08.116616,meditation found,62,2022-12-16 22:35:48.195984,title found,Strategies For Anxiety & Panic Attacks,2020-11-10T21:09:45.000Z,PT5M47S,2k,4.48,207,talks,Meditation,Everyone,"Anxiety,Secular,Lectures,Secular Mindfulness","This is a calming, audio talk offering strategies and coping mechanisms in the moments of anxiety and even panic. I made this with you in mind, if you are currently experiencing anxiety, and also to begin noting strategies for potential anxiety and feelings of panic. ",https://insighttimer.com/aliciameek/guided-meditations/strategies-for-anxiety-and-panic-attacks,https://libraryitems.insighttimer.com/q1h3n0s0m6w3d4f5a7a8b7a6d0h4r2f7h9y3a4d2/pictures/tiny_rectangle_medium.jpeg
9167,aliciameek,/guided-meditations/w4u0b5n2m5b6x0q4r0d8y0z6e0v6l8w8p0v1r8h0,5,2022-12-13 13:20:08.117156,meditation found,62,2022-12-16 22:35:50.983256,title found,Intuition Vs. Anxiety - The Difference ,2021-03-02T21:28:34.000Z,PT5M43S,1k,4.5,151,talks,Meditation,Everyone,"Anxiety,Lectures,Spirituality,Spirituality","This is a quick explanation of the difference between Intuition and Anxiety, and the physical markers to tell them apart. These two very different voices/messages can be very hard to tell apart in the moment.  Know the difference so you can act on your intuition when it speaks to you.",https://insighttimer.com/aliciameek/guided-meditations/intuition-vs-anxiety-the-difference,https://libraryitems.insighttimer.com/w4u0b5n2m5b6x0q4r0d8y0z6e0v6l8w8p0v1r8h0/pictures/tiny_rectangle_medium.jpeg
9168,aliciameek,/guided-meditations/d1w8t7r7w4j2v5d3c5l9w5g0u8b6x4z2c0p6e7d4,5,2022-12-13 13:20:08.118163,meditation found,62,2022-12-16 22:36:16.625340,title found,Psychic Protection Meditation,2021-08-06T04:00:32.000Z,PT2M57S,1k,4.68,72,guided,Meditation,Everyone,"Secular,Mindfulness,Divine Connection,Spiritual,Mindfulness Meditation,Secular Mindfulness","This quick visualization meditation guides you through creating a psychic barrier, protecting you from negative or unwanted energy that may float around you. I recommend doing this each morning before leaving the house, or even on the go. It is relaxing, assuring, and creates protection for your energy. ",https://insighttimer.com/aliciameek/guided-meditations/psychic-protection-meditation-2,https://libraryitems.insighttimer.com/d1w8t7r7w4j2v5d3c5l9w5g0u8b6x4z2c0p6e7d4/pictures/tiny_rectangle_medium.jpeg
9169,aliciameek,/guided-meditations/z0n0d9d3v6x1w2j5g2r7z6x8a2h7x9z7x6c5k4d4,5,2022-12-13 13:20:08.118163,meditation found,62,2022-12-16 22:36:19.888980,title found,Higher Self Connection,2020-10-20T21:11:25.000Z,PT16M21S,417,4.58,24,guided,Meditation,Everyone,"Consciousness,Awakening,Spiritual,Spirituality","This meditation takes you through a discovery of your etheral body, and then, to the seat of your soul to your higher self. This meditation connects you to this part of yourself. This allows a deep flow of information and conversation between you. ",https://insighttimer.com/aliciameek/guided-meditations/higher-self-connection,https://libraryitems.insighttimer.com/z0n0d9d3v6x1w2j5g2r7z6x8a2h7x9z7x6c5k4d4/pictures/tiny_rectangle_medium.jpeg
9170,aliciameek,/guided-meditations/f7r6y0l1f1s2j4b2k6v4r2v4c7n8l3r5d9w6g6l0,5,2022-12-13 13:20:08.119193,meditation found,62,2022-12-16 22:36:22.387986,title found,New Moon - Mini Workshop,2021-02-08T18:10:01.000Z,PT11M41S,150,4.9,10,talks,Meditation,Everyone,"Manifestation,Visualization,New Age,Health & Happiness,Abundance,Lectures,Astrology,New Age Mysticism","This New Moon - mini-workshop explains the important difference between wishes and intentions, and how to use these to enhance your manifestations. The Universe always has your back, so let's clarify what we want, and how we are going to get it, so the Universe has clear instructions. ",https://insighttimer.com/aliciameek/guided-meditations/new-moon-mini-workshop,https://libraryitems.insighttimer.com/f7r6y0l1f1s2j4b2k6v4r2v4c7n8l3r5d9w6g6l0/pictures/tiny_rectangle_medium.jpeg
